	log_likelihood
937	15015.031
938	14963.997
939	15031.276
940	15117.237
941	14607.886
942	14636.498
943	14874.873
944	15145.216
945	15059.893
946	14967.859
947	15103.156
948	15149.338
949	15036.628
950	15187.096
951	15002.453
952	14969.225
953	14858.69
954	14935.281
955	14972.565
956	15114.375
957	14872.903
958	15128.992
959	14713.825
960	15052.553
961	15141.619
962	15095.203
963	14703.128
964	14838.084
965	14754.518
966	14715.138
967	14987.7295
968	14539.755
969	15166.424
970	14854.83
971	15018.436
972	14936.393
973	14839.445
974	14929.622
975	15001.381
976	15009.744
977	14971.797
978	15168.278
979	14817.245
980	15128.269
981	14964.24
982	15068.411
983	14540.966
984	15102.217
985	15090.831
986	15076.487
987	16608.805
988	16428.035
989	16257.216
990	16005.576
991	16148.175
992	16457.498
993	16626.082
994	16217.014
995	16675.879
996	16202.814
997	15550.414
998	16478.598
999	16043.756
1000	16713.348
1001	16299.695
1002	15666.271
1003	16705.754
1004	16699.344
1005	16103.528
1006	15862.435
1007	16252.756
1008	15758.389
1009	16558.158
1010	16442.191
1011	16628.69
1012	16349.13
1013	16467.02
1014	16781.975
1015	16312.178
1016	16374.333
1017	16639.441
1018	16798.832
1019	16168.3125
1020	16434.488
1021	16477.11
1022	16672.277
1023	15865.513
1024	16362.391
1025	16315.4795
1026	16296.5625
1027	16300.481
1028	16591.309
1029	16485.256
1030	16507.643
1031	16643.523
1032	16173.388
1033	16570.668
1034	16275.989
1035	16321.026
1036	15319.428
1037	16351.307
1038	16579.34
1039	16367.992
1040	16360.253
1041	16382.094
1042	16298.799
1043	16698.11
1044	16239.609
1045	15853.627
1046	15714.675
1047	16029.916
1048	15811.318
1049	15819.315
1050	16499.146
1051	16496.219
1052	16250.31
1053	16513.34
1054	16608.965
1055	16053.236
1056	16471.268
1057	16583.605
1058	16072.435
1059	16575.797
1060	16721.012
1061	15970.227
1062	16480.475
1063	16051.45
1064	16420.365
1065	16244.193
1066	15755.398
1067	16370.354
1068	16254.136
1069	16075.865
1070	16066.396
1071	16635.916
1072	16494.012
1073	16512.969
1074	16263.242
1075	16445.566
1076	16593.592
1077	16389.129
1078	16423.982
1079	15765.664
1080	16484.557
1081	16452.092
1082	16442.488
1083	16477.947
1084	16483.994
1085	16511.975
1086	16466.885
1087	16343.036
1088	16077.74
1089	16146.878
1090	16540.568
1091	16251.565
1092	16552.697
1093	16114.091
1094	16195.584
1095	16445.611
1096	16650.85
1097	16711.166
1098	15673.761
1099	16382.575
1100	16587.848
1101	16256.175
1102	15600.956
1103	16878.965
1104	16384.135
