	z_coordinate_0	z_coordinate_1
601	-3.947282	-2.5459855
602	-4.7423124	-3.5572722
603	-3.414195	-2.4370127
604	-3.4595268	-2.7465146
605	-3.10411	-2.8892667
606	-2.3920903	-2.4526641
607	-3.3013291	-2.4527087
608	-4.1013365	-2.32319
609	-3.0251203	-2.8114407
610	-4.9606266	-3.6547282
611	-4.50872	-3.2683034
612	-4.666082	-2.9075153
613	-4.411829	-3.8103106
614	-3.488011	-2.299725
615	-3.690823	-2.395446
616	-4.624093	-3.451904
617	-3.3464255	-2.5883856
618	-4.6334486	-3.0220406
619	-4.3214674	-3.2935069
620	-2.722715	-2.874107
621	-5.1969795	-2.7173853
622	-4.4686065	-3.6535783
623	-2.775681	-2.5210302
624	-4.217349	-3.0933778
625	-3.5104573	-2.6233866
626	-3.3261566	-2.5044477
627	-4.98897	-3.8996751
628	-2.9708998	-2.422033
629	-3.2032213	-3.0680342
630	-4.679665	-3.4819288
631	-3.1794372	-4.252912
632	-4.0099707	-2.6055396
633	-3.722343	-3.7780323
634	-4.377824	-3.681137
635	-4.832739	-3.521857
636	-4.708288	-3.5218966
637	-5.329482	-3.5657566
638	-3.311121	-2.3919108
639	-3.976018	-2.5564425
640	-4.471303	-3.4474342
641	-3.3352983	-2.5554576
642	-3.3674479	-3.0979054
643	-3.2575502	-3.6087909
644	-4.723181	-3.833344
645	-5.3028483	-3.3627837
646	-5.1824656	-3.5269997
647	-3.0038583	-3.2299879
648	-4.281904	-3.115776
649	-4.152602	-2.6750247
650	-4.135266	-2.7717893
651	-4.688898	-3.780235
652	-2.6601033	-3.046555
653	-3.6559963	-2.599189
654	-5.7255096	-3.273502
655	-4.553289	-3.859659
656	-4.118022	-3.567494
657	-3.533668	-2.3363898
658	-3.1567745	-2.2894921
659	-3.1087384	-2.7766147
660	-3.9738102	-2.6321554
661	-4.5282874	-3.2514153
662	-3.533985	-2.5292368
663	-4.3168154	-2.7402744
664	-4.698999	-3.737046
665	-4.846614	-3.625828
666	-3.6622906	-2.4270256
667	-3.2010655	-2.7171695
668	-3.0343685	-2.0402043
669	-4.0996537	-3.8405788
670	-3.847157	-2.7024112
671	-3.4064538	-2.9166942
672	-3.6630726	-2.6877172
673	-4.8331814	-3.118367
674	-2.8077474	-3.2307084
675	-4.4798174	-3.345174
676	-4.466385	-3.7017028
677	-4.3477154	-3.3399715
678	-4.3811803	-3.3975224
679	-4.30229	-3.4083695
680	-3.1989732	-2.8304498
681	-3.447115	-3.2858636
682	-4.441158	-3.8012044
683	-3.308843	-2.678661
684	-6.580609	1.0197877
685	-4.7053714	-3.5651324
686	-4.501075	-3.723823
687	-3.45926	-3.5106025
688	-3.4548912	-2.5651338
689	-4.658308	-2.9879491
690	-4.071601	-2.8224723
691	-3.246901	-4.1258283
692	-4.0426197	-3.932696
693	-4.681982	-3.2127984
694	-4.7753997	-3.7311027
695	-4.2657886	-2.8032506
696	-4.877594	-3.9063804
697	-3.013097	-1.8517662
698	-4.2063346	-4.0245214
699	-2.5825949	-3.3888257
700	-2.652802	-3.0315263
701	-2.987294	-3.6508582
702	-3.558803	-2.4933841
703	-2.9396815	-2.5345888
704	-3.7726007	-2.7394753
705	-2.9349232	-2.6983414
706	-3.716894	-2.9521575
707	-4.194025	-3.1061146
708	-3.4979973	-4.317496
709	-3.1227055	-3.7536736
710	-1.2170596	-1.3696761
711	-2.2187138	-2.9004424
712	-3.7762568	-3.1872962
713	-3.3259583	-2.887577
714	-4.061771	-1.3371445
715	-5.2150717	-3.7173364
716	-3.2286015	-2.450239
717	-4.56421	-3.5453575
718	-4.0778923	-3.2291791
719	-3.2495208	-3.9063394
720	-4.77079	-2.954275
721	-3.347555	-2.9060142
722	-4.7326765	-3.7070935
723	-3.0582924	-2.6518514
724	-3.2232413	-2.2312682
725	-3.726264	-2.6195333
726	-4.9755983	-3.4996996
727	-2.9492168	-3.539551
