	log_likelihood
1203	29778.703
1204	30513.588
1205	30152.385
1206	30188.62
1207	30627.787
1208	30673.254
1209	29806.625
1210	30445.479
1211	30445.988
1212	29973.578
1213	30275.879
1214	30657.766
1215	30331.004
1216	30653.621
1217	30031.688
1218	30916.184
1219	31028.312
1220	30615.23
1221	30565.744
1222	30654.838
1223	30380.191
1224	30177.016
1225	30115.156
1226	30787.996
1227	30201.807
1228	29943.262
1229	29936.541
1230	30176.566
1231	30209.26
1232	29446.432
1233	29978.588
1234	30494.637
1235	30245.006
1236	30827.51
1237	30013.059
1238	30663.553
1239	30651.775
1240	30864.541
1241	30300.225
1242	30064.016
1243	30770.473
1244	30193.777
1245	30933.188
1246	30674.822
1247	30621.307
1248	30403.574
1249	30421.416
1250	30842.043
1251	30617.406
1252	30826.73
1253	30910.037
1254	30685.434
1255	30592.918
1256	30393.412
1257	30263.594
1258	29985.275
1259	30534.879
1260	30819.213
1261	30495.703
1262	29925.9
1263	29599.041
1264	29943.725
1265	30219.303
1266	30855.402
1267	30520.072
1268	30414.584
1269	30091.559
1270	30004.86
1271	30076.166
1272	30501.047
1273	30084.969
1274	30837.277
1275	30530.432
1276	31154.129
1277	30740.238
1278	30552.613
1279	30620.734
1280	30237.91
1281	30495.0
1282	30771.928
1283	30149.791
1284	30477.547
1285	30403.082
1286	30925.76
1287	30595.277
1288	30635.021
1289	30985.162
1290	30728.838
1291	30530.219
1292	30056.45
1293	30813.803
1294	30435.797
1295	31203.068
1296	30866.262
1297	30486.88
1298	30119.125
1299	30644.27
1300	31196.824
1301	31186.896
1302	30678.057
1303	30405.723
1304	29831.473
1305	30964.504
1306	30872.016
1307	31248.662
1308	30423.818
1309	30904.428
1310	30782.035
1311	30388.928
1312	30716.535
1313	30880.521
1314	30478.734
1315	31156.984
1316	31204.865
1317	30737.396
1318	31008.395
1319	30313.963
1320	30827.525
1321	30067.244
1322	30494.412
1323	30933.822
1324	31082.723
1325	30807.344
1326	31141.672
1327	31098.785
1328	30853.98
1329	31326.637
1330	30553.193
1331	31040.094
1332	30139.406
1333	30847.77
1334	30626.098
1335	30209.322
1336	30905.957
1337	30792.438
1338	30875.598
1339	31142.006
1340	30540.91
1341	31138.941
1342	30652.803
1343	30364.021
1344	30915.77
1345	30696.8
1346	31030.947
1347	31015.691
1348	30421.13
1349	30261.457
1350	31070.5
1351	30905.156
1352	31037.162
1353	30123.197
1354	31041.332
1355	30023.418
1356	30461.896
1357	30923.703
1358	30675.984
1359	30772.527
1360	30063.926
1361	31101.87
1362	30724.062
1363	31071.729
1364	30480.088
1365	30377.197
1366	31010.65
1367	30339.559
1368	30792.787
1369	30273.824
1370	30326.207
1371	31062.568
1372	30763.785
1373	30831.166
1374	30455.582
1375	30511.89
1376	28958.662
1377	30676.1
1378	31175.828
1379	30315.947
1380	31015.562
1381	30926.973
1382	30221.047
1383	30602.594
1384	31035.418
1385	30858.176
1386	30316.473
1387	30840.787
1388	31209.834
1389	30804.65
1390	30523.24
1391	30907.615
1392	30862.371
1393	30992.219
1394	30826.521
1395	30758.824
1396	30354.879
1397	30954.766
1398	30736.348
1399	31141.682
1400	30532.568
1401	30754.324
1402	31261.084
1403	30461.557
1404	30822.375
1405	30501.895
1406	30765.943
1407	30654.775
1408	30761.666
1409	30751.05
1410	30205.574
1411	30769.791
1412	30660.965
1413	30763.244
1414	30770.418
1415	29930.1
1416	30767.207
1417	30510.479
1418	30989.703
1419	30422.912
1420	30505.23
1421	30890.693
1422	31015.344
1423	30514.785
1424	30676.535
1425	30823.459
1426	30668.488
1427	31052.385
1428	31192.91
1429	31014.793
1430	30562.578
1431	31180.2
1432	30128.387
1433	30954.531
1434	30994.879
1435	31006.176
1436	31176.848
1437	30524.566
1438	31134.012
1439	30943.52
1440	31361.113
1441	31119.725
1442	30639.082
1443	31076.475
1444	30938.266
1445	30973.15
1446	30299.332
1447	31200.297
1448	30572.693
1449	31284.844
1450	30585.541
1451	31154.621
1452	31090.902
1453	30670.895
1454	31094.219
1455	31076.887
1456	30984.918
1457	31301.803
1458	30824.059
1459	30436.129
1460	30165.395
1461	30601.682
1462	30866.213
1463	30783.428
1464	30781.244
1465	30567.975
1466	30168.441
1467	30504.693
1468	30352.121
1469	30282.76
1470	30382.09
1471	30804.707
1472	30382.9
1473	30572.168
1474	30758.084
1475	30209.941
1476	30466.14
1477	30610.3
1478	30741.318
1479	30101.535
1480	30326.02
1481	30468.338
1482	30800.691
1483	30766.824
1484	30741.746
1485	30134.709
1486	30659.957
1487	30168.756
1488	30404.988
1489	30020.416
1490	30279.834
1491	30688.348
1492	30380.27
1493	30713.787
1494	30459.537
1495	30097.988
1496	30286.059
1497	30698.406
1498	30715.838
1499	30614.25
1500	30715.621
1501	30463.256
1502	30403.994
1503	30480.95
1504	30410.365
1505	30427.16
1506	30247.818
1507	30422.197
1508	30410.785
1509	30396.822
1510	30336.63
1511	30502.604
1512	30521.0
1513	30118.605
1514	30541.11
1515	30507.14
1516	30984.412
1517	30319.957
1518	30530.816
1519	30676.266
1520	30753.918
1521	30298.678
1522	30202.506
1523	30405.668
1524	30341.777
1525	30662.365
1526	30406.975
1527	30262.89
1528	30710.156
1529	30228.14
1530	30261.926
1531	30545.293
1532	30409.682
1533	30736.176
1534	30742.885
1535	30733.043
1536	30472.676
1537	30469.537
1538	30175.15
1539	30326.137
1540	30757.418
1541	30358.76
1542	31031.021
1543	30567.521
1544	30565.016
1545	30238.871
1546	30519.287
1547	30505.412
1548	30434.605
1549	30318.512
1550	30224.275
1551	30433.45
1552	30558.254
1553	30360.473
1554	30330.12
1555	30473.02
1556	31039.553
1557	30740.854
1558	30298.057
1559	30531.941
1560	30557.525
1561	30317.078
1562	30800.324
1563	30457.65
1564	30671.072
1565	30349.35
1566	30356.094
1567	30604.953
1568	30540.559
1569	30660.605
1570	30322.863
1571	30326.031
1572	30906.219
1573	30235.395
1574	30979.01
1575	30154.553
1576	30473.777
1577	30546.01
1578	30360.338
1579	30709.729
1580	29970.375
1581	30462.525
1582	30439.184
1583	30510.775
1584	29986.855
1585	30331.238
1586	30267.656
1587	30655.447
1588	30130.75
1589	30459.512
1590	30770.562
1591	30569.744
1592	30349.807
1593	30923.053
1594	30913.4
1595	30541.012
1596	30749.129
1597	30439.48
1598	30474.223
1599	30681.996
1600	30242.178
1601	30382.088
1602	30367.832
1603	30039.885
1604	29975.082
1605	30379.238
1606	30567.932
1607	30533.52
1608	30554.1
1609	30055.145
1610	30279.316
1611	29755.176
1612	30382.574
1613	30325.52
1614	30326.52
1615	30626.066
1616	30623.348
1617	30760.684
1618	30337.912
1619	30620.324
1620	30618.969
1621	30628.176
1622	30775.084
1623	30395.457
1624	30477.494
1625	30825.338
1626	30529.88
1627	30208.434
1628	30194.932
1629	30439.432
1630	30433.754
1631	30144.34
1632	30574.637
1633	30001.906
1634	30568.824
1635	30886.328
1636	30672.557
1637	30336.729
1638	30575.428
1639	30717.082
1640	30455.521
1641	30772.168
1642	30804.41
1643	30528.615
1644	30660.35
1645	30452.332
1646	30431.16
1647	30434.207
1648	30852.975
1649	30446.422
1650	30555.307
1651	30175.963
1652	29940.922
1653	30002.416
1654	30744.416
1655	30822.61
1656	30400.344
1657	30468.879
1658	30661.254
1659	30635.645
1660	30410.05
1661	30434.676
1662	30371.36
1663	30494.791
1664	30421.537
1665	30609.965
1666	30486.225
1667	30216.281
1668	30469.156
1669	30417.078
1670	30932.66
1671	30354.215
1672	30618.527
1673	30946.953
1674	30732.504
1675	30524.156
1676	30905.365
1677	30378.225
1678	30057.771
1679	30280.062
1680	30546.021
1681	30531.293
